# Location,Little Cottonwood
# Site,Alta Collins
# PitID,UTLCAC
# Date/Local Time,2020-02-20T14:00
# UTM Zone,12N
# Easting,446677
# Northing,4491448
# Latitude,40.5721
# Longitude,-111.62997
"# Top
(cm)","Bottom
(cm)",Avg Density (kg/m3),Permittivity A,Permittivity B,LWC-vol A (%),LWC-vol B (%)
265.0,255.0,118.0,NaN,NaN,NaN,NaN
255.0,245.0,238.0,NaN,NaN,NaN,NaN
245.0,235.0,179.0,NaN,NaN,NaN,NaN
235.0,225.0,252.0,NaN,NaN,NaN,NaN
225.0,215.0,307.0,NaN,NaN,NaN,NaN
215.0,205.0,301.0,NaN,NaN,NaN,NaN
205.0,195.0,380.0,NaN,NaN,NaN,NaN
195.0,185.0,355.0,NaN,NaN,NaN,NaN
185.0,175.0,323.0,NaN,NaN,NaN,NaN
175.0,165.0,330.0,NaN,NaN,NaN,NaN
165.0,155.0,346.0,NaN,NaN,NaN,NaN
155.0,145.0,326.0,NaN,NaN,NaN,NaN
145.0,135.0,327.0,NaN,NaN,NaN,NaN
135.0,125.0,369.0,NaN,NaN,NaN,NaN
125.0,115.0,395.0,NaN,NaN,NaN,NaN
115.0,105.0,387.0,NaN,NaN,NaN,NaN
105.0,95.0,389.0,NaN,NaN,NaN,NaN
95.0,85.0,398.0,NaN,NaN,NaN,NaN
85.0,75.0,388.0,NaN,NaN,NaN,NaN
75.0,65.0,401.0,NaN,NaN,NaN,NaN
65.0,55.0,410.0,NaN,NaN,NaN,NaN
55.0,45.0,393.0,NaN,NaN,NaN,NaN
45.0,35.0,429.0,NaN,NaN,NaN,NaN
35.0,25.0,422.0,NaN,NaN,NaN,NaN
25.0,15.0,371.0,NaN,NaN,NaN,NaN
15.0,5.0,380.0,NaN,NaN,NaN,NaN
